player_id,full_name,web_name,photo_url,player_name
2,Aaron Connolly,Connolly,,Connolly
3,Aaron Cresswell,Cresswell,,A. Cresswell
5,Aaron Lennon,Lennon,,Lennon
6,Aaron Mooy,Mooy,,Mooy
9,Aaron Wan Bissaka,Wan-Bissaka,,A. Bissaka
10,Abdoulaye Doucouré,Doucouré,,A. Doucouré
12,Abdul Fatawu,Fatawu,,Fatawu
13,Abdul Rahman Baba,Baba,,Baba
14,Aboubakar Kamara,Kamara,,A. Kamara
15,Abu Kamara,Kamara,,A. Kamara
17,Adam Davies,A.Davies,,A.Davies
18,Adam Forshaw,Forshaw,,Forshaw
19,Adam Idah,Idah,,Idah
20,Adam Lallana,Lallana,,Lallana
21,Adam Masina,Masina,,Masina
26,Adedapo Awokoya Mebude,Mebude,,Mebude
27,Ademipo Odubeko,Odubeko,,Odubeko
28,Ademola Lookman,Lookman,,Lookman
29,Ademola Ola Adebomi,Ola-Adebomi,,Ola-Adebomi
30,Admiral Muskwe,Muskwe,,Muskwe
31,Adrian Blake,Blake,,Blake
33,Adrien Silva,Silva,,Silva
34,Adrián Bernabé,Bernabé,,Bernabé
35,Adrián San Miguel del Castillo,Adrián,,Adrián
36,Ahmed El Mohamady,El Mohamady,,El Mohamady
37,Ahmed El Sayed Hegazy,Hegazi,,Hegazi
38,Aidan Francis Clarke,Francis-Clarke,,Francis-Clarke
39,Ainsley Maitland Niles,Maitland-Niles,,Maitland-Niles
40,Ajibola Alese,Alese,,A. Alese
41,Albert Grønbæk,Grønbæk,,Grønbæk
43,Albian Ajeti,Ajeti,,Ajeti
45,Alejo Véliz,Veliz,,Veliz
46,Aleksandar Mitrović,Mitrović,,Mitrović
48,Alex Kirk,Kirk,,Kirk
49,Alex Kral,Kral,,Kral
50,Alex Matos,Matos,,Matos
51,Alex McCarthy,McCarthy,,A. McCarthy
52,Alex Mighten,Mighten,,Mighten
54,Alex Oxlade Chamberlain,Chamberlain,,Chamberlain
55,Alex Palmer,Palmer,,A. Palmer
57,Alex Robertson,Robertson,,A. Robertson
59,Alex Smithies,Smithies,,Smithies
60,Alex Telles,Telles,,Telles
62,Alexandre Jankewitz,Jankewitz,,Jankewitz
63,Alexandre Lacazette,Lacazette,,Lacazette
64,Alexandre Moreno Lopera,Álex Moreno,,Álex Moreno
66,Alfie Devine,Devine,,Devine
67,Alfie Dorrington,Dorrington,,Dorrington
68,Alfie Doughty,Doughty,,Doughty
69,Alfie Gilchrist,Gilchrist,,Gilchrist
70,Alfie Mawson,Mawson,,Mawson
72,Alfie Whiteman,Whiteman,,Whiteman
73,Ali Al Hamadi,Hamadi,,Hamadi
74,Alireza Jahanbakhsh,Jahanbakhsh,,Jahanbakhsh
76,Allan Campbell,Campbell,,A. Campbell
77,Allan Marques Loureiro,Allan,,Allan
78,Allan Saint Maximin,Saint-Maximin,,Saint-Maximin
79,Allan Tchaptchet,Tchaptchet,,Tchaptchet
81,Altay Bayindir,Altay,,Altay
83,Amadou Diallo,Diallo,,A. Diallo
86,Amari'i Bell,Bell,,Bell
87,Amario Cozier Duberry,Cozier-Duberry,,Cozier-Duberry
88,Ameen Al Dakhil,Al-Dakhil,,Al-Dakhil
89,Anass Zaroury,Zaroury,,Zaroury
90,Andi Zeqiri,Zeqiri,,Zeqiri
91,Andre Brooks,Brooks,,A. Brooks
92,Andre Gray,Gray,,A. Gray
93,Andreas Christensen,Christensen,,Christensen
95,Andreas Söndergaard,Söndergaard,,Söndergaard
97,Andrew Omobamidele,Omobamidele,,Omobamidele
